job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
A Religious Scientist,2.0,0.0,1.0,3.0,3.0,3.0,0.3333333333333333,1.0
Genetics,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
Laundryer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
September,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
Strider,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
admin,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
assistant,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
chemist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
controller,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
customs officer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
developer,8.0,7.0,0.0,1.0,8.0,8.0,0.0,0.125
educators,3.0,2.0,5.0,6.0,8.0,8.0,0.625,0.75
employee,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
farmer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
hockey,3.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0
interviews ▸üer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
lab,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
lawyer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
manager,7.0,4.0,0.0,3.0,7.0,7.0,0.0,0.42857142857142855
military,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
modeler,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
museum,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
official,7.0,6.0,2.0,3.0,9.0,9.0,0.2222222222222222,0.3333333333333333
payee,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
philosopher,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
photographer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
pilot,6.0,5.0,2.0,3.0,8.0,8.0,0.25,0.375
poet,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
politician,3.0,1.0,0.0,2.0,3.0,3.0,0.0,0.6666666666666666
programmer,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
replacement,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
reporter,8.0,7.0,0.0,1.0,8.0,8.0,0.0,0.125
reserve,3.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0
restortor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
reviewer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
shareholder,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
talker,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
therapist,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
tutor,8.0,6.0,0.0,2.0,8.0,8.0,0.0,0.25
writer,11.0,8.0,1.0,4.0,12.0,12.0,0.08333333333333333,0.3333333333333333
