job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
A Museumist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
A literary scholar,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
An Artist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
Archaist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
Autoist,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
Balmester,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
Border,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Chancellor,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Freelancer,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
Laundryer,1.0,3.0,3.0,1.0,4.0,4.0,0.75,0.25
Officer,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
Organist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
Palette,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Prime Minister,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
Volklorist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
accordionist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
actor,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
ambassador,2.0,0.0,4.0,6.0,6.0,6.0,0.6666666666666666,1.0
archiver,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
assistant,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
barber,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
cardiologist,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
cartographer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
cellocelist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
chemist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
chromester,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
climber,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
commander,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
concertmaster,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
conductor,4.0,1.0,4.0,7.0,8.0,8.0,0.5,0.875
consultant,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
counselor,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
dramatist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
editor,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
eyeglass,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
farmer,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
fisherman,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
guide,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
hogitator,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
iconic,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
illuminator,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
interviews ▸üer,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
letterpresser,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
librarian,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
lithor,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
math,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
meteorologist,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
mythologist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
newspaper,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
out-of-the-box,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
pharmaceutical,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
phraser,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
police officer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
professor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
programmer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
promoter,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
proofreader,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
publisher,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
screenkeeper,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
surgeon,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
therapist,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
writer,2.0,0.0,10.0,12.0,12.0,12.0,0.8333333333333334,1.0
