job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
Captain,0.0,3.0,4.0,1.0,4.0,4.0,1.0,0.25
Laundryer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
Methodist,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
PTM,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Shepherd,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
Volklorist,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
assistant,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
boss,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
boxer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
customs officer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
fighter,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
mortar,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
replacement,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
