,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
291,worker,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
238,police officer,4.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0
60,Tracker,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
178,law enforcement,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
26,Guard,3.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0
261,resp. . . .,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
30,Loanor,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.5
279,top,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
137,electricity,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
21,Endocrinologist,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
95,businessman,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
222,pathologist,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
61,Volklorist,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
260,reserve,2.0,0.0,1.0,3.0,3.0,3.0,0.3333333333333333,1.0
158,handler,2.0,0.0,1.0,3.0,3.0,3.0,0.3333333333333333,1.0
185,lithor,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
180,lecturer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
89,biologist,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
170,interviews ▸üer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
172,journalist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
165,illuminator,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
207,newspaper,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
140,entrepreneur,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
113,consul,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
22,Evolutionist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
268,seller,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
249,prosecutor,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
47,Prime Minister,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
289,witch doctor,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
259,reporter,3.0,0.0,5.0,8.0,8.0,8.0,0.625,1.0
288,waiter,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
46,Pressecrete,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
80,back book,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
98,cashier,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
56,Stysiter,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
142,evaluator,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
248,proofreader,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
244,producer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
254,rap,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
196,medium,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
198,meteorologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
81,baker,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
64,accountant,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
49,Reanimatologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
34,Manager,2.0,0.0,6.0,8.0,8.0,8.0,0.75,1.0
42,Organist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
241,presscffer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
239,political scientist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
203,motorist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
266,scientist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
31,Magnesium,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
121,dean,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
4,A literary scholar,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
102,chromester,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
138,employee,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
139,engineer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
12,Bananist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
285,tutor,2.0,0.0,6.0,8.0,8.0,8.0,0.75,1.0
210,official,2.0,1.0,7.0,8.0,9.0,9.0,0.7777777777777778,0.8888888888888888
110,conductor,1.0,2.0,7.0,6.0,8.0,8.0,0.875,0.75
255,rect,0.0,1.0,8.0,7.0,8.0,8.0,1.0,0.875
