condition,probability,trainable_params,trainable_pct,biased_profession_count
attn,0.0,358624000,21.89719530213841,14
attn,0.5,276652800,16.892122090221058,4
attn,0.6,276652800,16.892122090221058,11
attn,0.7,256160000,15.640853787241722,3
attn,0.8,235667200,14.389585484262383,0
attn,0.85,215174400,13.138317181283046,86
attn,0.9,215174400,13.138317181283046,5
attn,0.95,174188800,10.63578057532437,2
mlp,0.0,717080000,43.78413270516589,15
mlp,0.5,553176000,33.776330943985116,0
mlp,0.6,553176000,33.776330943985116,2
mlp,0.7,512200000,31.27438050368992,12
mlp,0.8,471224000,28.772430063394726,0
mlp,0.85,430248000,26.270479623099533,16
mlp,0.9,430248000,26.270479623099533,13
mlp,0.95,348296000,21.266578742509147,24
attn_mlp,0.0,1075704000,65.6813280073043,4
attn_mlp,0.5,829828800,50.66845303420617,4
attn_mlp,0.6,829828800,50.66845303420617,5
attn_mlp,0.7,768360000,46.91523429093164,2
attn_mlp,0.8,706891200,43.16201554765711,11
attn_mlp,0.85,645422400,39.40879680438258,6
attn_mlp,0.9,645422400,39.40879680438258,3
attn_mlp,0.95,522484800,31.902359317833515,62
