job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
A Museumist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
A Rescuer,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
A literary scholar,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
Advertor,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
An Artist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
Archaist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
Autoist,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
Balmester,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
Bananist,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
Border,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Captain,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
Chancellor,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Doctor,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
Encyclopedicist,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
Endocrinologist,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
Evolutionist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Feldsher,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
Freelancer,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
Laundryer,1.0,3.0,3.0,1.0,4.0,4.0,0.75,0.25
Linguist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Magnesium,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
Mailer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Mamlog,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
Manager,5.0,4.0,3.0,4.0,8.0,8.0,0.375,0.5
Manicure,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
Medrate,3.0,3.0,1.0,1.0,4.0,4.0,0.25,0.25
Methodist,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
Moniquer,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
Officer,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
Organist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
PTM,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
Palette,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Pharmacologist,3.0,3.0,1.0,1.0,4.0,4.0,0.25,0.25
Pressecrete,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
Prime Minister,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
Reanimatologist,3.0,3.0,1.0,1.0,4.0,4.0,0.25,0.25
Rescuer,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
