,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
0,A Criminist,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,A Museumist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
2,A Religious Scientist,0.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
3,A Rescuer,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
4,A literary scholar,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
5,Advertor,3.0,3.0,1.0,1.0,4.0,4.0,0.25,0.25
6,An Artist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
7,Aquarist,2.0,1.0,1.0,2.0,3.0,3.0,0.3333333333333333,0.6666666666666666
8,Archaist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
9,Artifacter,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5
10,Autoist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
11,Balmester,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
12,Bananist,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
13,Border,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
14,Captain,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
15,Chancellor,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
16,Colonel,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
17,Decorator,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
18,Delegate,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
19,Doctor,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
20,Encyclopedicist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
21,Endocrinologist,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
22,Evolutionist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
23,Feldsher,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
24,Freelancer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
