job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
A Museumist,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
Aquarist,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
Archaist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
Balmester,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Bananist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
Colonel,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Encyclopedicist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Evolutionist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
Guard,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
Loanor,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.5
Magnesium,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
Manicure,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
Minister,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
Moniquer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
Organist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
PTM,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
Pressecrete,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Prime Minister,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
September,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Servant,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
Swindler,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
T-Example,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
Tracker,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
agronom,2.0,1.0,1.0,2.0,3.0,3.0,0.3333333333333333,0.6666666666666666
ambassador,3.0,2.0,3.0,4.0,6.0,6.0,0.5,0.6666666666666666
baker,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
banker,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
bricklayer,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0
businessman,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
cartographer,4.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0
