job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
A literary scholar,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Advertor,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
An Artist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
Balmester,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Chancellor,4.0,1.0,0.0,3.0,4.0,4.0,0.0,0.75
Encyclopedicist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Humpty-Commentary,1.0,0.0,1.0,2.0,2.0,2.0,0.5,1.0
Methodist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
Prime Minister,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
Reanimatologist,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
Servant,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
Swindler,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
Tracker,1.0,0.0,1.0,2.0,2.0,2.0,0.5,1.0
Volklorist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
agronom,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
ambassador,3.0,0.0,3.0,6.0,6.0,6.0,0.5,1.0
antagonist,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
artist,2.0,0.0,11.0,13.0,13.0,13.0,0.8461538461538461,1.0
assistant,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
audience,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
banker,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
beletter,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
broker,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
businessman,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
cartographer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
choreographer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
commander,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
concertmaster,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
conductor,5.0,2.0,3.0,6.0,8.0,8.0,0.375,0.75
counselor,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
customs officer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
dean,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
developer,2.0,0.0,6.0,8.0,8.0,8.0,0.75,1.0
dramatist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
expeditionor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
fighter,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
fisherman,0.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0
gangster,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
handler,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
letterpresser,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
lithor,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
logger,2.0,1.0,1.0,2.0,3.0,3.0,0.3333333333333333,0.6666666666666666
manifest,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
marketing,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
medium,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
official,2.0,3.0,7.0,6.0,9.0,9.0,0.7777777777777778,0.6666666666666666
overseer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
passer,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
paster,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
rap,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
rect,3.0,2.0,5.0,6.0,8.0,8.0,0.625,0.75
teacher,4.0,0.0,8.0,12.0,12.0,12.0,0.6666666666666666,1.0
therapist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
transporter,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
waiter,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
witch doctor,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
