job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
A Museumist,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
A literary scholar,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
Artifacter,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.5
Border,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
Doctor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
Evolutionist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
Medrate,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
Organist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
PTM,4.0,1.0,0.0,3.0,4.0,4.0,0.0,0.75
Servant,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
Strider,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
T-Example,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
The cook.,4.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0
account,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
author,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
baker,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
basketball player,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
cardiologist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
cartographer,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
cleaner,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
climber,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
commander,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
consultant,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
cosmonaut,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
designer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
doctor,4.0,1.0,0.0,3.0,4.0,4.0,0.0,0.75
editor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
eyeglass,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
farmer,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
financier,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
hospital,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
interviews ▸üer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
journalist,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
librarian,4.0,1.0,0.0,3.0,4.0,4.0,0.0,0.75
massager,4.0,1.0,0.0,3.0,4.0,4.0,0.0,0.75
math,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
military,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
modeler,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
obstetrician,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
out-of-the-box,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
perfume,4.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0
pianist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
pilot,4.0,2.0,4.0,6.0,8.0,8.0,0.5,0.75
politician,3.0,1.0,0.0,2.0,3.0,3.0,0.0,0.6666666666666666
presscffer,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
publisher,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
repair man,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
reserve,2.0,0.0,1.0,3.0,3.0,3.0,0.3333333333333333,1.0
restortor,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
scientist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
shareholder,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
speech therapist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
surveyor,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
tester,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
therapist,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
wizard,0.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0
worker,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
writer,6.0,0.0,6.0,12.0,12.0,12.0,0.5,1.0
