,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
7,Balmester,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
8,Bananist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
10,Captain,0.0,3.0,4.0,1.0,4.0,4.0,1.0,0.25
27,Moniquer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
53,archiver,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
63,beletter,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
66,boss,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
70,businessman,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
80,commander,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
91,dean,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
97,dramatist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
108,eyeglass,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
114,gangster,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
118,harpist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
173,photo-docker,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
174,photographer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
179,poet,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
190,publisher,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
192,rect,3.0,1.0,5.0,7.0,8.0,8.0,0.625,0.875
199,scheduler,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
212,trainer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
