job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
Autoist,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
Border,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Doctor,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
Evolutionist,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
Freelancer,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
Humpty-Commentary,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.5
Pressecrete,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
Prime Minister,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
Servant,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
Shepherd,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
archiver,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
audience,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
baker,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
banker,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
basketball player,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
biologist,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
boxer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
broker,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
cashier,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
cellocelist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
circus,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
commander,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
controller,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
cosmonaut,4.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0
counselor,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
evaluator,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
fighter,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
financier,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
fisherman,0.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0
gangster,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
guide,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
hospital,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
immunologist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
inspector,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
interviews,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
interviews ▸üer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
investigater,1.0,0.0,1.0,2.0,2.0,2.0,0.5,1.0
juggler,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
lecturer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
marketing,1.0,4.0,3.0,0.0,4.0,4.0,0.75,0.0
meteorologist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
museum,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
musician,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
mythologist,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
operator,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
out-of-the-box,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
pediatrician,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
philosopher,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
photo-docker,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
phraser,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
pianist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
police officer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
political scientist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
presscffer,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
producer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
programmer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
proofreader,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
prosecutor,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
psychologist,0.0,1.0,2.0,1.0,2.0,2.0,1.0,0.5
repair man,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0
reporter,8.0,4.0,0.0,4.0,8.0,8.0,0.0,0.5
restortor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
shareholder,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0
soccer player,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
talker,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
tester,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
top,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
trustee,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
vocalist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
worker,1.0,3.0,2.0,0.0,3.0,3.0,0.6666666666666666,0.0
writer,7.0,2.0,5.0,10.0,12.0,12.0,0.4166666666666667,0.8333333333333334
