,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
22,Mamlog,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
25,Medrate,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
27,Moniquer,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
43,Volklorist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
49,ambassador,1.0,0.0,5.0,6.0,6.0,6.0,0.8333333333333334,1.0
55,assistant,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
66,boss,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
77,circus,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
85,consul,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
91,dean,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
108,eyeglass,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
111,financier,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
118,harpist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
152,modeler,4.0,1.0,0.0,3.0,4.0,4.0,0.0,0.75
166,paster,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
178,player,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
185,professor,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
187,promoter,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
191,rap,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
193,referee,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
197,restortor,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
199,scheduler,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
208,teacher,4.0,0.0,8.0,12.0,12.0,12.0,0.6666666666666666,1.0
215,tutor,3.0,1.0,5.0,7.0,8.0,8.0,0.625,0.875
218,witch doctor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
