job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
Autoist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
Bananist,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
Laundryer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Mailer,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
PTM,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
assistant,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
bartender,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
circus,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
counselor,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
director,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
dramatist,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
educators,2.0,0.0,6.0,8.0,8.0,8.0,0.75,1.0
electricity,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
epidemiologist,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
expeditionor,4.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0
farmer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
fighter,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
fireman,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
instructor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
interviews ▸üer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
lab,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
letterpresser,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
manager,6.0,4.0,1.0,3.0,7.0,7.0,0.14285714285714285,0.42857142857142855
meteorologist,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
modeler,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
officer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
pharmaceutical,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
player,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
promoter,4.0,1.0,0.0,3.0,4.0,4.0,0.0,0.75
rap,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
teacher,6.0,1.0,6.0,11.0,12.0,12.0,0.5,0.9166666666666666
therapist,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
tour guide,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
tutor,6.0,4.0,2.0,4.0,8.0,8.0,0.25,0.5
