,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
3,Advertor,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
16,Feldsher,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
17,Freelancer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
20,Magnesium,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
23,Manager,2.0,0.0,6.0,8.0,8.0,8.0,0.75,1.0
26,Methodist,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
40,Swindler,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
46,accountant,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
66,boss,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
71,cardiologist,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
78,cleaner,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
85,consul,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
91,dean,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
103,engineer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
105,epidemiologist,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
161,operator,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
169,pediatrician,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
194,replacement,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
214,trustee,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
