job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
Bananist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Freelancer,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
Magnesium,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
PTM,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
September,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
Servant,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
Shepherd,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
actor,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
concertmaster,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
conductor,6.0,4.0,2.0,4.0,8.0,8.0,0.25,0.5
dean,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
director,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
hogitator,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
out-of-the-box,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
referee,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
scheduler,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
soccer player,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
