condition,percent_unfrozen,trainable_params,biased_profession_count
attn,0.1,51232000,23
attn,0.15,71724800,21
attn,0.2,102464000,3
attn,0.25,122956800,12
attn,0.3,143449600,21
attn,0.4,194681600,7
attn,0.5,245913600,26
attn,1.0,491827200,19
mlp,0.1,204880000,19
mlp,0.15,286832000,0
mlp,0.2,409760000,34
mlp,0.25,471224000,32
mlp,0.3,553176000,0
mlp,0.4,655616000,32
mlp,0.5,758056000,26
mlp,1.0,983424000,17
attn_mlp,0.1,256112000,25
attn_mlp,0.15,358556800,32
attn_mlp,0.2,512224000,9
attn_mlp,0.25,594180800,3
attn_mlp,0.3,696625600,31
attn_mlp,0.4,850297600,9
attn_mlp,0.5,1003969600,16
attn_mlp,1.0,1475251200,34
